date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:42:22	43914/43914	---M--	200	added ('OK')	image/gif	date:Fri,%2016%20Jul%202021%2002:28:43%20GMT	https://media.tenor.com/42BnOO-Q6hsAAAAi/cat-funny.gif	C:/My%20Web%20Sites/kichibase/media.tenor.com/42BnOO-Q6hsAAAAi/cat-funny.gif	(from https://kichibase.com/)
16:42:22	1993805/1993805	---M--	200	added ('OK')	image/gif	date:Thu,%2013%20Jun%202024%2018:16:55%20GMT	https://media.tenor.com/0okJBma33jEAAAAi/cat-meme.gif	C:/My%20Web%20Sites/kichibase/media.tenor.com/0okJBma33jEAAAAi/cat-meme.gif	(from https://kichibase.com/)
16:42:23	49682/49682	---M--	200	added ('OK')	image/gif	date:Fri,%2008%20Jan%202021%2003:36:42%20GMT	https://media.tenor.com/nsGNQy4ZMjEAAAAi/gato-guitarra.gif	C:/My%20Web%20Sites/kichibase/media.tenor.com/nsGNQy4ZMjEAAAAi/gato-guitarra.gif	(from https://kichibase.com/)
16:42:23	509446/509446	---M--	200	added ('OK')	image/gif	date:Sat,%2013%20Jan%202024%2006:20:41%20GMT	https://media.tenor.com/fVoHRPRIetUAAAAi/chipi-chipi-chapa-chapa-chipi.gif	C:/My%20Web%20Sites/kichibase/media.tenor.com/fVoHRPRIetUAAAAi/chipi-chipi-chapa-chapa-chipi.gif	(from https://kichibase.com/)
16:42:23	117589/117589	---M--	200	added ('OK')	image/gif	date:Fri,%2016%20Jul%202021%2007:26:36%20GMT	https://media.tenor.com/sWCbSkkLG-gAAAAi/funny-cat.gif	C:/My%20Web%20Sites/kichibase/media.tenor.com/sWCbSkkLG-gAAAAi/funny-cat.gif	(from https://kichibase.com/)
16:42:24	572/572	---M--	200	added ('OK')	image/png	date:Tue,%2021%20May%202024%2010:42:25%20GMT	https://raw.githubusercontent.com/ST4RDUST8299/mywebassets/master/kichi/body/0.png	C:/My%20Web%20Sites/kichibase/raw.githubusercontent.com/ST4RDUST8299/mywebassets/master/kichi/body/0.png	(from https://kichibase.com/)
16:42:25	572/572	---M--	200	added ('OK')	image/png	date:Tue,%2021%20May%202024%2010:42:25%20GMT	https://raw.githubusercontent.com/ST4RDUST8299/mywebassets/master/kichi/hat/0.png	C:/My%20Web%20Sites/kichibase/raw.githubusercontent.com/ST4RDUST8299/mywebassets/master/kichi/hat/0.png	(from https://kichibase.com/)
16:42:25	572/572	---M--	200	added ('OK')	image/png	date:Tue,%2021%20May%202024%2010:42:25%20GMT	https://raw.githubusercontent.com/ST4RDUST8299/mywebassets/master/kichi/acc/0.png	C:/My%20Web%20Sites/kichibase/raw.githubusercontent.com/ST4RDUST8299/mywebassets/master/kichi/acc/0.png	(from https://kichibase.com/)
16:42:26	856479/856479	---M--	200	added ('OK')	image/png	etag:%22e9212fc672aa1edc715a4a43f7a2c78d-ssl%22	https://kichibase.com/img/gatohq.png	C:/My%20Web%20Sites/kichibase/kichibase.com/img/gatohq.png	(from https://kichibase.com/)
16:42:26	3594/3594	---MCZ	200	added ('OK')	application/javascript	etag:%228cb9ed42853ac5f220d5c0cf27807327-ssl-df%22	https://kichibase.com/webpack-runtime-983a331b5ce8db986abc.js	C:/My%20Web%20Sites/kichibase/kichibase.com/webpack-runtime-983a331b5ce8db986abc.js	(from https://kichibase.com/)
16:42:27	140761/140761	---MCZ	200	added ('OK')	application/javascript	etag:%2260d59acfd6b1b2144bc9c360753eda55-ssl-df%22	https://kichibase.com/framework-c3267491ab989bc79016.js	C:/My%20Web%20Sites/kichibase/kichibase.com/framework-c3267491ab989bc79016.js	(from https://kichibase.com/)
16:42:28	68001/68001	---MCZ	200	added ('OK')	application/javascript	etag:%22b56187bd852665545e1547b1652b3b22-ssl-df%22	https://kichibase.com/app-39bba8ebc58cac1201bb.js	C:/My%20Web%20Sites/kichibase/kichibase.com/app-39bba8ebc58cac1201bb.js	(from https://kichibase.com/)
